タイトル,bSP,BSP,DSP,ESP,CSP,BDP,DDP,EDP,CDP
iFUTURELIST(DDR VERSION),3,5,7,12,13,5,7,11,13
Illegal Function Call,4,10,13,16,-,10,14,16,-
I'm gonna get you!,3,4,7,9,-,4,7,11,-
I'm so Happy,3,6,8,12,16,6,8,12,16
IMANOGUILTS,4,8,11,14,15,8,11,14,15
IN BETWEEN,4,7,12,15,-,7,12,15,-
in love wit you,1,3,6,8,-,4,6,9,-
In The Air,4,6,9,11,-,6,10,11,-
In The Breeze,3,5,9,11,-,5,9,12,-
IN THE ZONE,1,4,7,9,-,5,8,10,-
INNOCENCE OF SILENCE,3,5,10,12,-,5,9,12,-
INSERTiON,4,6,9,13,-,5,9,12,-
INSIDE YOUR HEART,3,4,6,9,-,3,6,9,-
Inspiration,3,5,7,8,-,4,6,9,-
INTO YOUR HEART (Ruffage remix),3,4,8,11,-,5,8,11,-
invisible rain,2,4,7,11,-,4,7,11,-
Ishtar,3,5,11,14,16,5,11,14,16
Jam & Marmalade,3,4,8,11,-,5,8,10,-
jane jana,3,4,7,10,-,6,7,11,-
JET WORLD,3,4,7,11,-,5,8,11,-
Jewelry days,3,6,9,12,-,6,9,12,-
JOKER,2,4,8,11,14,6,8,11,14
JOMANDA,4,8,12,15,17,8,12,15,17
KEEP ON MOVIN',4,5,7,9,-,5,9,10,-
KEEP ON MOVIN' ～DMX MIX～,3,5,7,11,-,4,8,12,-
KHAMEN BREAK,3,7,11,16,-,7,11,15,-
KIMONO♥PRINCESS,5,8,12,15,-,8,13,16,-
KISS KISS KISS,4,5,6,12,-,5,8,12,-
KISS KISS KISS 秋葉工房 MIX,2,5,8,12,-,4,8,12,-
Kiss me all night long,3,3,6,10,-,3,6,11,-
LA BAMBA,3,4,8,11,-,4,8,10,-
La Bamba,3,4,8,11,-,4,8,10,-
La libertad,3,5,9,12,14,6,9,12,14
La receta,3,4,7,11,13,5,7,11,13
La Señorita,4,6,8,10,-,5,9,13,-
La Señorita Virtual,4,8,10,12,-,9,10,12,-
L'amour et la liberté(Darwin & DJ Silver remix),3,4,7,11,-,4,7,12,-
L'amour et la liberté(DDR Ver.),3,6,9,12,-,6,9,12,-
LEADING CYBER,3,8,9,13,-,7,10,13,-
Leaving…,2,5,8,11,13,5,8,11,13
Lesson by DJ,1,-,-,-,-,-,-,-,-
Let the beat hit em!(CLASSIC R&B STYLE),3,6,7,10,-,6,7,10,-
Let's Get Away,2,4,7,9,-,6,10,13,-
Life is beautiful,5,8,12,16,-,8,12,16,-
Lift You Up,3,4,6,10,-,5,6,8,-
LOGICAL DASH,3,4,7,11,-,5,6,10,-
London EVOLVED ver.A,5,8,11,14,17,8,11,14,17
London EVOLVED ver.B,5,8,11,14,17,8,11,14,17
London EVOLVED ver.C,5,8,11,14,17,8,11,14,17
Love Again,2,4,6,8,-,3,6,8,-
LOVE AGAIN TONIGHT～For Melissa MIX～,4,5,8,11,-,5,7,10,-
LOVE IS ORANGE,3,5,7,9,11,5,8,8,12
LOVE IS THE POWER -Re:born-,1,5,7,10,-,5,7,10,-
♥Love²シュガ→♥,3,5,6,8,-,4,7,9,-
LoveLove DokiDoki,2,6,10,12,-,6,10,12,-
LOVE♥SHINE,3,5,6,9,-,5,7,11,-
Love♡Shine わんだふるmix,3,5,8,11,14,5,8,11,14
LOVE THIS FEELIN',4,9,10,11,-,9,10,11,-
Love You More,3,9,12,16,-,9,12,16,-
LOVING YOU (Epidemik remix),3,6,8,11,-,4,7,11,-
MAGIC PARADE,1,4,7,10,-,4,7,10,-
Magnetic,3,7,11,15,17,7,11,15,17
Make A Difference,3,5,7,12,-,5,8,12,-
MAKE A JAM!,2,5,7,9,-,6,8,11,-
MAKE IT BETTER,3,7,9,12,-,7,9,11,-
MAKE IT BETTER (So-REAL Mix),2,7,8,10,12,7,9,11,12
Malacca,3,4,7,10,13,5,7,9,13
MARIA(I believe...),3,5,8,11,-,5,9,12,-
MARS WAR 3,3,4,8,11,-,4,10,13,-
MAX 300,5,9,12,15,-,9,12,15,-
MAX 300 (Super-Max-Me Mix),6,10,13,15,16,9,12,15,17
MAX 360,9,12,15,18,-,12,15,18,-
MAX LOVE,3,6,8,11,13,7,8,11,13
MAX.(period),5,12,14,16,18,11,13,16,18
MAXIMIZER,5,6,9,12,-,6,9,11,-
MAXX UNLIMITED,5,10,13,16,-,7,12,15,-
M.A.Y.U.,2,6,8,13,-,6,8,13,-
Melody Life,2,5,7,10,11,5,7,11,12
Mermaid girl,1,4,7,11,12,5,7,11,12
message,1,5,7,11,-,3,7,11,-
MIDNIGHT SPECIAL,3,7,9,10,-,7,10,12,-
Mind Parasite,3,5,9,13,-,5,8,10,-
Miracle Moon ～L.E.D.LIGHT STYLE MIX～,3,4,6,9,-,3,6,10,-
MITOれて！いばらきっしゅだ～りん,2,6,9,13,-,6,10,13,-
Monkey Business,3,6,9,13,16,7,10,13,16
Monkey Punk,4,5,8,10,-,5,8,10,-
MOON,3,3,7,10,-,1,8,10,-
MOONSTER,4,5,7,12,-,4,7,10,-
More One Night,3,5,8,10,12,5,8,11,12
murmur twins,3,4,8,11,-,3,8,11,-
Music In The Rhythm,4,7,8,11,-,5,8,12,-
My Only Shining Star,3,4,7,9,-,3,7,11,-
MY SUMMER LOVE,3,4,9,12,-,5,8,12,-
MY SUMMER LOVE(TOMMY'S SMILE MIX),-,-,-,-,12,-,-,-,11
neko＊neko,2,5,9,11,14,3,9,12,13
NEPHILIM DELTA,4,8,12,14,-,8,12,14,-
Neutrino,6,9,12,16,18,9,13,16,18
Neverland,4,8,12,15,-,8,12,14,-
New Beginning,3,5,9,11,12,6,8,11,12
New Century,4,9,14,17,18,8,14,17,18
New Decade,4,11,14,17,18,11,14,17,18
New Generation,4,7,10,14,17,7,10,14,17
New Gravity,3,6,9,12,14,6,9,12,14
New York EVOLVED (Type A),4,9,13,16,-,8,13,16,-
New York EVOLVED (Type B),4,9,13,16,-,8,13,16,-
New York EVOLVED (Type C),4,9,13,16,-,8,13,16,-
NGO,6,10,12,15,18,10,11,16,17
nightbird lost wing,3,7,10,14,-,7,10,14,-
No.13,4,5,9,13,-,5,9,12,-
Nostalgia Is Lost,3,7,11,15,-,7,11,15,-
oarfish,1,2,8,11,-,2,8,11,-
on the bounce,3,7,11,14,16,6,9,14,15
On The Break,3,8,10,13,-,7,11,14,-
One Sided Love,2,5,8,10,12,5,9,11,13
only my railgun,1,4,6,9,7,5,8,12,8
ORCA,6,9,14,17,-,9,14,18,-
ORION.78(AMeuro-MIX),3,4,7,12,-,5,8,9,-
ORION.78～civilization mix～,4,9,12,13,-,9,11,13,-
osaka EVOLVED -毎度、おおきに！- (TYPE1),9,11,13,15,-,10,12,15,-
osaka EVOLVED -毎度、おおきに！- (TYPE2),9,11,13,15,-,10,12,15,-
osaka EVOLVED -毎度、おおきに！- (TYPE3),9,11,13,15,-,10,12,15,-
#OurMemories,3,6,9,12,-,6,9,12,-
out of focus,3,6,12,15,16,6,12,15,16
Over The “Period”,8,12,15,18,19,12,15,18,19
PARANOiA,4,8,9,11,-,8,13,11,-
PARANOiA(X-Special),-,-,-,-,13,-,-,-,14
PARANOiA ETERNAL,4,8,10,13,-,9,11,13,-
PARANOiA ETERNAL(X-Special),-,-,-,-,13,-,-,-,13
PARANOIA EVOLUTION,5,9,10,12,-,6,10,13,-
PARANOIA EVOLUTION(X-Special),-,-,-,-,14,-,-,-,15
PARANOiA ～HADES～,7,11,15,16,18,12,15,17,18
PARANOiA KCET ～clean mix～,4,8,9,11,15,8,10,10,15
PARANOiA MAX～DIRTY MIX～,5,9,10,12,-,10,12,11,-
PARANOiA MAX～DIRTY MIX～(X-Special),-,-,-,-,13,-,-,-,14
PARANOiA Rebirth,4,8,10,13,-,9,11,13,-
PARANOiA Rebirth(X-Special),-,-,-,-,14,-,-,-,14
PARANOiA-Respect-,5,11,12,16,-,8,12,15,-
PARANOiA Revolution,6,9,14,18,19,10,14,18,19
PARANOIA survivor,4,9,11,15,-,9,11,15,-
PARANOIA survivor MAX,5,9,11,15,16,9,11,15,16
Party Lights,2,4,6,11,-,5,6,10,-
Party Lights (Tommie Sunshine's Brooklyn Fire Remix),2,5,8,11,-,5,8,11,-
PASSION OF LOVE,4,5,7,10,-,6,8,10,-
Pierce The Sky,3,8,11,14,-,8,11,14,-
Pink Rose,3,4,6,10,-,4,7,10,-
Plan 8,4,8,11,14,-,8,11,14,-
Playa (Original Mix),3,4,7,11,-,4,7,11,-
Pluto,6,9,12,14,16,9,13,14,17
Pluto Relinquish,5,12,14,17,18,12,14,18,18
Pluto The First,8,10,14,17,18,10,15,18,18
Polovtsian Dances And Chorus,3,4,9,11,-,5,9,11,-
Poochie,5,8,12,16,-,8,12,15,-
Poseidon,3,5,9,11,-,6,9,11,-
Poseidon(kors k mix),2,5,9,14,-,4,9,13,-
POSSESSION,7,10,14,17,18,11,14,17,19
POSSESSION (20th Anniversary Mix),8,11,14,16,-,11,15,17,-
POSSESSION(EDP Live Mix),3,9,12,16,-,9,12,16,-
PRANA,4,8,11,14,16,8,11,14,16
PRANA＋REVOLUTIONARY ADDICT (U1 DJ Mix),5,9,13,17,-,9,12,16,-
Prey,5,11,15,18,-,11,15,18,-
printemps,3,6,10,13,-,6,10,14,-
Private Eye,2,4,8,12,-,6,8,12,-
Procyon,2,6,11,15,-,6,11,15,-
Programmed Universe,2,5,9,12,-,5,9,13,-
Puberty Dysthymia,4,8,13,17,-,8,13,17,-
PUNISHER,3,6,11,14,-,6,11,14,-
Pursuer,3,7,14,17,-,7,14,17,-
PUT YOUR FAITH IN ME,3,5,6,9,-,6,8,8,-
PUT YOUR FAITH IN ME (Jazzy Groove),2,6,7,9,11,7,8,11,11
PUT YOUR FAITH IN ME ～SATURDAY NIGHT MIX～,3,5,8,9,-,5,7,12,-
puzzle,3,4,6,8,-,4,6,9,-
Qipchāq,3,5,8,12,-,5,8,11,-
Quick Master,4,5,8,11,-,5,7,10,-
Quickening,3,6,7,11,-,5,6,8,-
rain of sorrow,3,3,9,12,-,5,7,12,-
rainbow flyer,3,4,6,11,-,3,7,11,-
rainbow rainbow,4,4,7,10,-,4,7,11,-
Raspberry♡Heart(English version),3,5,6,9,11,5,6,9,12
"Reach The Sky, Without you",7,10,14,17,-,10,14,17,-
real-high-SPEED,2,4,6,8,-,4,6,9,-
REBORN MAGIC,2,4,7,9,-,5,7,11,-
RED ZONE,4,6,8,12,-,6,8,11,-
Rejoin,2,6,10,13,-,7,11,13,-
Remain,5,9,12,15,-,9,12,16,-
Rescue Me,2,4,8,12,-,5,9,13,-
resonance,2,4,8,11,-,4,8,11,-
Resurrection,2,5,7,10,-,5,8,10,-
RЁVOLUTIФN,3,7,11,14,17,7,11,14,17
REVOLUTIONARY ADDICT,3,7,10,13,16,6,9,13,16
Rhythms Inside,1,3,7,9,-,4,7,9,-
Right on time (Ryu☆Remix),2,6,9,14,13,6,9,14,13
RISING FIRE HAWK,3,6,11,15,17,6,11,15,17
Romancing Layer,2,6,11,14,-,6,11,14,-
roppongi EVOLVED ver.A,6,8,11,15,-,8,12,16,-
roppongi EVOLVED ver.B,6,8,11,15,-,8,12,16,-
roppongi EVOLVED ver.C,6,8,11,15,-,8,12,16,-
roppongi EVOLVED ver.D,6,8,11,15,-,8,12,16,-
SABER WING,5,8,10,13,13,8,12,13,13
SABER WING (Akira Ishihara Headshot mix),6,10,12,15,17,10,12,15,17
SABER WING (satellite silhouette remix),2,4,9,12,15,6,8,12,14
Sacred Oath,2,4,7,11,12,5,8,11,13
S・A・G・A,4,7,10,13,-,6,10,13,-
Sakura Mirage,4,7,11,14,-,7,11,14,-
Sakura Reflection,4,8,10,15,-,7,10,14,-
sakura storm,2,4,7,10,13,4,7,11,14
Sakura Sunrise,3,7,10,14,-,8,10,15,-
Samurai Shogun vs. Master Ninja,3,7,12,14,-,7,12,15,-
Sand Blow,3,7,12,15,-,7,12,16,-
Saturday Night Love,3,4,6,8,-,4,6,8,-
Saturn,3,7,9,13,-,5,9,13,-
Scarlet Moon,2,5,9,12,-,5,9,12,-
Scorching Moon,3,4,7,11,-,5,7,10,-
Seasons,2,5,8,12,-,5,8,12,-
Second Heaven,2,5,9,11,14,5,9,11,14
Secret Rendez-vous,3,4,7,12,-,4,8,12,-
SEDUCTION,4,6,9,12,-,6,9,13,-
SEDUCTION(Vocal Remix),3,6,9,12,-,6,8,12,-
Sephirot,3,6,10,12,-,5,9,13,-
Seta Para Cima↑↑,3,5,10,13,-,5,10,13,-
Seule,2,6,10,12,-,6,10,12,-
SEXY PLANET,3,7,8,11,-,5,7,10,-
SEXY PLANET(FROM NONSTOP MEGAMIX),-,-,-,-,10,-,-,-,9
Shades of Grey,3,5,8,11,-,5,7,10,-
Share The Love,2,4,8,12,-,4,7,12,-
She is my wife,3,5,7,12,-,5,7,12,-
Shine,2,4,6,9,12,4,7,9,12
☆shining☆,2,5,8,11,-,5,8,11,-
Shiny World,2,8,11,14,-,8,11,14,-
SHION,4,7,10,13,-,6,10,13,-
Show me your moves,3,5,8,11,-,5,8,12,-
Shut Up and Dance,2,5,8,11,-,5,9,11,-
siberite,2,5,10,13,-,5,10,14,-
S!ck,5,8,12,16,-,8,12,16,-
SigSig,3,6,9,12,10,6,9,12,10
Silent Hill,3,4,9,10,-,5,7,11,-
Silent Hill (3rd christmas mix),-,-,-,-,10,-,-,-,11
SILVER☆DREAM,4,8,11,15,-,9,12,15,-
Silver Platform - I wanna get your heart -,4,5,7,11,-,4,8,11,-
Ska Ska No.3,3,3,7,12,-,4,8,10,-
Sky Is The Limit,2,5,9,12,-,5,9,11,-
Skywalking,4,7,10,14,-,7,11,14,-
Slip Out,1,3,7,9,-,5,6,9,-
Slip Out (bounce in beat mix),2,4,6,10,-,6,7,9,-
Smiling Passion,2,7,10,12,-,7,10,12,-
smooooch･∀･,2,4,7,12,10,5,7,12,10
snow prism,3,6,9,12,16,6,9,12,16
SO IN LOVE,3,4,7,9,-,2,7,9,-
SODA GALAXY,3,6,9,12,-,6,8,12,-
sola,2,5,9,12,-,5,9,12,-
someday...,2,5,7,9,-,6,8,10,-
Somehow You Found Me,3,6,10,13,16,6,10,13,16
Something Special,2,4,7,11,-,5,7,11,-
SOUL CRASH,3,6,9,13,-,6,9,12,-
south,2,5,8,10,10,5,8,10,11
SP-TRIP MACHINE～JUNGLE MIX～,4,8,9,10,-,8,9,10,-
SP-TRIP MACHINE～JUNGLE MIX～(X-Special),-,-,-,-,11,-,-,-,12
Spanish Snowy Dance,3,7,11,15,17,7,11,16,18
Special One,2,5,8,11,-,5,8,11,-
SPECIAL SUMMER CAMPAIGN!,2,7,11,15,-,7,12,15,-
Squeeze,4,6,9,15,-,6,10,15,-
Star Gate Heaven,3,3,7,10,-,3,7,11,-
Star Gate Heaven (FUTURE LOVE Mix),4,5,9,12,-,6,8,13,-
Star Trail,2,5,9,13,-,6,9,13,-
Starlight Fantasia,3,7,11,14,-,7,11,14,-
Starlight Fantasia (Endorphins Mix),3,8,12,15,-,8,12,15,-
starmine,3,7,11,15,-,7,11,14,-
Starry HEAVEN,2,5,8,11,13,5,8,11,12
Starry Sky,2,6,9,12,-,6,9,12,-
STARS☆☆☆(2nd NAOKI's style),3,6,8,9,-,6,8,11,-
STARS☆☆☆（Re-tuned by HΛL） - DDR EDITION -,3,5,10,9,-,6,9,10,-
Start a New Day,3,6,11,15,16,7,11,15,16
STAY (Organic house Version),3,4,7,9,-,5,7,9,-
stealth,3,5,8,11,-,5,8,11,-
Stella Sinistra,4,8,12,15,-,7,12,14,-
STERLING SILVER,4,6,10,13,-,6,10,13,-
STERLING SILVER (U1 overground mix),4,7,11,14,-,7,11,14,-
STILL IN MY HEART,3,6,8,10,-,6,7,9,-
STILL IN MY HEART(MOMO MIX),-,-,-,-,11,-,-,-,12
stoic (EXTREME version),3,5,9,13,-,4,10,12,-
Straight Oath,3,8,11,13,15,8,11,14,16
Strawberry Chu♡Chu♡,2,7,11,13,-,7,11,13,-
StrayedCatz,4,7,11,13,-,7,12,13,-
Struggle,4,6,10,13,-,5,10,12,-
STULTI,4,9,12,15,-,9,12,16,-
Sucka Luva,1,4,7,11,-,5,8,11,-
Summer Fairytale,2,5,7,9,14,5,7,9,14
Summer fantasy (Darwin remix),2,7,10,13,11,7,10,13,13
SUNKiSS♥DROP,3,5,8,12,12,4,7,11,12
SUN² SUMMER STEP!,1,3,8,11,-,3,8,11,-
SUPER HERO,4,6,9,12,-,7,10,13,-
SUPER SAMURAI,4,8,12,15,-,8,12,16,-
SUPER STAR,3,7,8,12,-,5,9,11,-
SUPER STAR(FROM NONSTOP MEGAMIX),-,-,-,-,10,-,-,-,11
SUPER SUMMER SALE,2,8,12,15,-,8,12,15,-
Sweet Rain,3,6,9,12,-,6,9,12,-
Sweet Sweet ♥ Magic,4,5,9,13,-,5,8,11,-
switch,3,4,7,10,-,5,7,10,-
sync (EXTREME version),3,5,8,9,12,6,9,10,11
Synergy For Angels,3,7,10,14,-,7,10,14,-
Taj He Spitz,2,4,7,10,-,5,7,11,-
Taj He Spitz (Tommie Sunshine's Brooklyn Fire Re-Touch),3,5,8,12,-,6,7,12,-
Take A Chance,2,3,6,9,-,3,6,9,-
Take A Step Forward,2,7,9,11,-,6,10,12,-
Taking It To The Sky,1,3,5,8,-,4,6,8,-
TEARS,3,6,8,12,-,6,8,12,-
TECH-NOID,2,5,9,12,-,6,9,13,-
Tell me what to do,2,5,9,12,14,5,9,11,14
Thank You Merry Christmas,3,5,9,12,-,5,9,13,-
The flower in your smile,3,6,7,10,-,5,7,10,-
The Heavens Above,3,7,9,11,-,6,10,12,-
The Island Song,1,3,7,9,13,4,7,9,13
The Least 100sec,5,7,11,12,-,7,10,14,-
The legend of MAX,7,8,13,15,-,8,12,16,-
The Light,2,5,9,13,-,5,9,13,-
The Lonely Streets,2,4,7,10,12,5,7,10,12
The Night Away (MK Remix),3,5,9,12,-,5,10,12,-
THE REASON,1,4,7,12,15,4,7,12,15
THE SHINING POLARIS,4,4,6,9,-,5,6,9,-
The Wind of Gold,3,6,10,14,-,6,10,14,-
Theory of Eternity,3,6,9,12,10,6,9,12,11
think ya better D,3,5,6,9,-,6,7,10,-
This Beat Is.....,1,4,7,11,-,4,7,10,-
THIS NIGHT,2,5,8,11,-,6,8,11,-
Ticket to Bombay,3,5,7,10,-,5,7,9,-
TIERRA BUENA,3,4,8,10,-,4,7,11,-
Till the lonely's gone,3,4,8,9,-,5,8,9,-
TIME,1,5,7,9,-,5,7,10,-
Time Of Our Lives,2,5,9,11,-,5,9,11,-
TimeHollow,2,4,7,10,-,5,6,8,-
Tohoku EVOLVED,6,9,14,17,18,9,14,17,18
tokyoEVOLVED (TYPE1),6,9,13,16,-,9,13,16,-
tokyoEVOLVED (TYPE2),6,9,13,16,-,9,13,16,-
tokyoEVOLVED (TYPE3),6,9,13,16,-,9,13,16,-
TOMORROW,3,4,8,10,-,5,7,11,-
Tomorrow Perfume,3,4,8,10,-,4,7,9,-
Top The Charts,3,5,8,12,14,5,8,12,14
Towards the TOWER,2,5,9,12,-,5,9,12,-
Toy Box Factory,3,7,11,14,-,7,11,14,-
Tracers (4Beat Remix),3,5,7,10,-,6,9,11,-
Tribe,2,5,7,10,13,4,7,10,14
Trigger,5,9,12,16,18,7,11,16,18
Trim,5,6,10,16,-,6,10,15,-
TRIP MACHINE,3,8,9,10,-,9,10,10,-
TRIP MACHINE(X-Special),-,-,-,-,11,-,-,-,12
TRIP MACHINE CLIMAX,5,7,9,12,-,7,9,12,-
TRIP MACHINE CLIMAX(X-Special),-,-,-,-,14,-,-,-,14
TRIP MACHINE EVOLUTION,4,9,12,16,18,9,12,17,18
TRIP MACHINE～luv mix～,3,9,10,12,-,9,10,11,-
TRIP MACHINE PhoeniX,3,8,11,15,15,8,12,16,16
TRIP MACHINE survivor,4,5,11,13,-,6,11,12,-
Triple Counter,7,11,14,17,-,9,14,17,-
Triple Journey -TAG EDITION-,4,8,12,16,18,8,12,17,18
Truare!,3,8,11,16,-,8,11,16,-
True Blue,3,7,11,16,-,6,11,16,-
TRUE♥LOVE,4,4,8,10,-,4,7,10,-
Trust -DanceDanceRevolution mix-,3,5,8,10,-,4,8,11,-
Try 2 Luv. U,3,4,6,8,-,4,6,8,-
TSUBASA,2,6,10,13,-,6,9,13,-
TSUGARU,3,5,9,12,-,6,9,13,-
TSUGARU (APPLE MIX),-,-,-,-,11,-,-,-,11
Twin memories W,2,6,9,11,-,6,9,11,-
Twin Bee -Generation X-,3,5,8,11,-,4,7,11,-
TWINKLE♡HEART,1,4,8,11,10,4,8,11,11
Übertreffen,3,6,8,13,-,5,8,14,-
un deux trois,3,4,8,10,-,4,6,9,-
UNBELIEVABLE (Sparky remix),4,7,11,15,-,8,12,16,-
Under the Sky,2,2,5,11,-,3,6,8,-
Unreal,4,8,12,15,-,8,12,14,-
Until the End,3,4,9,12,-,8,10,13,-
Uranus,3,6,9,11,13,6,9,11,13
V ～for EXTREME～,3,5,8,12,13,5,7,11,13
Valkyrie dimension,9,13,15,18,19,13,14,18,19
VANESSA,4,7,11,16,-,7,12,16,-
VANITY ANGEL,3,4,9,12,-,5,9,12,-
Vanquish The Ghost,3,8,12,16,-,8,12,15,-
VEGA,3,7,11,14,-,7,11,14,-
Vem brincar,2,5,7,11,-,5,7,11,-
Venus,3,4,6,11,13,4,6,10,13
volcano,4,5,8,13,-,5,8,13,-
Votum stellarum -forest #25 DDR RMX-,1,4,9,12,-,4,7,12,-
Waiting,3,6,10,13,-,7,10,13,-
Waiting 4 u,4,6,8,11,11,6,8,12,12
Wake Me Up,3,5,9,12,-,5,9,13,-
WH1TE RO5E,3,5,9,13,-,5,9,13,-
What Will Come of Me,2,4,6,13,-,5,7,13,-
Why not,4,6,9,11,-,6,7,11,-
Wicked Plastik,3,4,8,13,-,5,11,13,-
WILD RUSH,5,6,7,10,-,5,9,11,-
WILD RUSH(FROM NONSTOP MEGAMIX),-,-,-,-,9,-,-,-,10
WILD SIDE,3,6,9,11,13,6,9,11,13
will,1,4,7,11,-,5,7,11,-
Windy Fairy,2,7,11,15,-,7,11,15,-
Wings of an Angel (Fly With Me),2,4,8,12,-,5,8,11,-
Wow Wow VENUS,2,4,8,11,-,5,8,12,-
xenon,3,5,10,13,-,5,9,13,-
Xepher,4,7,10,13,15,7,10,13,15
Yeah! Yeah!,2,6,9,12,-,6,9,12,-
You,1,3,6,10,-,3,6,10,-
You are a Star,2,4,8,12,13,6,8,12,13
You gotta move it (feat. Julie Rugaard),4,5,8,10,-,5,7,10,-
Your Angel,2,4,7,10,-,4,7,11,-
ZEPHYRANTHES,3,7,12,15,-,7,11,15,-
ZETA～素数の世界と超越者～,3,6,11,15,-,6,9,14,-
